win_size,std_percentile,weight_fraction,mae,rmse,n_birds
10,2.0,,0.6657387769706982,0.7216006950858143,6
10,5.0,,0.6615178638346704,0.7193068581788276,6
10,,,0.6377863204340336,0.7028012592508214,6
10,,0.05,0.6377863204340336,0.7028012592508214,6
10,,0.07,0.6323558007763962,0.6872275991294944,6
10,,0.09,0.6251656978084015,0.6809823510720534,6
10,,0.11,0.6239961160273123,0.6827231298095588,6
20,2.0,,0.6771552141116269,0.7307213158759479,6
20,5.0,,0.672168137038775,0.7278330096221951,6
20,,,0.6506317649257788,0.7111310294126266,6
20,,0.05,0.6506317649257788,0.7111310294126266,6
20,,0.07,0.6351178157290293,0.688977162159616,6
20,,0.09,0.635471708218169,0.695580954706973,6
20,,0.11,0.6243081156054926,0.6828298215276732,6
